Feature,Embed_Type,R2_Mean,R2_Median,R2_Std,R2_95%_CI_Lower,R2_95%_CI_Upper,MSE_Mean,MSE_Median,MSE_Std,MSE_95%_CI_Lower,MSE_95%_CI_Upper,Intercept,Coefficients
z_x,orig,0.41217050279011874,0.41226200150337944,0.0033828573385342306,0.4054343366937006,0.41855872752250856,0.582518122445114,0.5823458669019772,0.005366877510132247,0.5719956260588472,0.5928932819882453,-0.5279632825445789,"[0.9787567620829098, 0.14753263199833191, -0.2597032867250256, 1.340297043925983, 0.26140886711280964, 1.2028029657210044, 2.0065954432891204, -0.20013267868767512, 1.4752099482200622, 2.1455624942882947]"
z_x,cond,0.00781486747290206,0.007785305070537152,0.000852360098569003,0.0061863610575192355,0.009425476882792688,0.9838283902739949,0.9836756799141066,0.007713271459837078,0.9686038239544991,0.9991294361004927,-0.00412846236008314,"[0.011200973579522275, -0.020145516238405152, -0.002805787887659627, -0.03954300587802305, 0.007119958260297673, -0.006016607438259367, -0.0023020548138651467, -0.04466576620093139, 0.05459126069252024, 0.012011489627078624]"
z_x,uncond,0.409654942259157,0.40974996014399234,0.0037211571604215976,0.4024231572551141,0.41718439719345735,0.5852470797839807,0.585238189183616,0.004893461489817561,0.575167726242663,0.594792142801344,-0.010548977724278995,"[0.2548545996244463, -0.10363209428820391, 0.10756171310473864, 0.15623598229228716, -0.1256152245943867, -0.03670653957508409, 0.36075398414917703, 0.03225029314426445, 0.3621614740088531, 0.2410595534266414]"
z_x,cond+z,1.0,1.0,0.0,1.0,1.0,1.701164486257711e-30,1.700943424139841e-30,1.1867869542185262e-32,1.6772564013698025e-30,1.724781908666064e-30,-1.5075803409862686e-16,"[-1.8851838830012392e-16, 2.220446049250313e-16, -5.342948306008566e-16, 6.158268339717665e-16, 4.0245584642661925e-16, -4.544975507059235e-16, -2.0816681711721685e-16, 1.3183898417423734e-16, 2.2898349882893854e-16, 2.0816681711721685e-16, 1.0000000000000007]"
h_alpha_flux,orig,0.7344484470703084,0.7344803999241978,0.004635359709738966,0.7249865751982099,0.7431899321139307,0.26743822482513985,0.2673444628868943,0.006467207066526001,0.25522946026027715,0.2806402503940848,0.09184373752123667,"[-0.5606635644027727, 0.09598698193574595, 1.4283589946545592, -0.5541977570760837, 0.42601003529346876, 0.49840918615135954, -0.5847799324035663, 1.5944661842541865, -0.661762440591821, 0.9593503075363267]"
h_alpha_flux,cond,0.6407540190107017,0.6408353820161911,0.004311021433147766,0.6321880268554754,0.649267318208737,0.3618016900450968,0.36161244822961297,0.00647359307368948,0.3502914446008343,0.3746411679845038,0.047519600741836754,"[-0.31474692649992014, 0.06300657391545575, 0.1663719904634402, -0.10339077892288713, 0.19829085843781274, 0.3010629683955726, -0.10456712679004904, 0.5339013557924075, -0.08461941628620152, 0.3190141687958088]"
h_alpha_flux,uncond,0.7146808054221516,0.7148507446375211,0.004555986957812884,0.7055046161049573,0.7231413576582919,0.2873343365675383,0.28699899168193965,0.006159847666726372,0.2758636020226322,0.30011332243709804,-0.02171216969439292,"[-0.39573930082250786, 0.09173009381102715, 0.15450478031120096, -0.1590585561556616, 0.2557719864676756, 0.32530888012846854, -0.2124490902660236, 0.5160610956063008, -0.17743141076216176, 0.2627921428121167]"
h_alpha_flux,cond+z,0.7532174491142329,0.7533327622539043,0.0046674056612494835,0.7439857981531239,0.7614671562817551,0.24850035141009813,0.24832085207163163,0.006156336766968062,0.23765786299705524,0.26091390797923203,0.047556866455685826,"[-0.3141817543622553, 0.0596758551595257, 0.16560860779296316, -0.11762625923690168, 0.20096368618581165, 0.3028352392930694, -0.1060387695775106, 0.5277974514379897, -0.0672681950653252, 0.3228182181643297, -0.33473776636373287]"
velDisp,orig,0.6521127624964315,0.6522374040860811,0.014790373479871756,0.6228552659262836,0.6793497257821413,0.3541339720564725,0.3536461380628402,0.02052182067809284,0.3157254182537221,0.39558755816521046,0.23196177821560074,"[-1.061595620123382, -0.6177919279021964, 1.19011453837181, 1.5663933607823728, 0.30969143600351856, 0.15392961386470372, 1.1889279170575417, -0.7470687954679806, 2.4185026896030046, 0.08727972361064673]"
velDisp,cond,0.4043934530410845,0.4045129022549085,0.009004332381798073,0.38658657927080803,0.4207167174886013,0.6065809453977613,0.6058186798966675,0.018245321000891497,0.5733189825722923,0.6430154096782845,-0.07383145861698782,"[0.11829570211550797, -0.06609510178135433, 0.23201272030962616, 0.053707687891319675, -0.12969059437900518, -0.19109724223264585, 0.19723205127374954, -0.189828222464676, 0.4324680833533947, 0.001723820542667091]"
