Feature,Embed_Type,R2_Mean,R2_Median,R2_Std,R2_95%_CI_Lower,R2_95%_CI_Upper,MSE_Mean,MSE_Median,MSE_Std,MSE_95%_CI_Lower,MSE_95%_CI_Upper,Intercept,Coefficients
z_x,orig,0.4119395883266808,0.411994452826694,0.003531263088535432,0.40512419245100506,0.4187690588704961,0.0016538477881956534,0.0016535982989762535,1.485085066896075e-05,0.0016257347686251147,0.0016819785968563382,0.08098828195265259,"[0.052131630195669264, 0.007858046974575527, -0.013832605023679993, 0.07138839040825878, 0.013923449541429081, 0.06406502804004109, 0.10687751610445764, -0.010659689107241913, 0.07857427142359397, 0.11427933358631563]"
z_x,cond,0.007840639952870952,0.00785042909218081,0.0008601914545140163,0.006126110368708471,0.009538723996612047,0.002789492461354686,0.002789787355582418,2.110428692794092e-05,0.002747005405669354,0.0028297684405049115,0.1088893541979749,"[0.0005965987006173567, -0.0010730128703339884, -0.0001494449920894335, -0.0021061835168027635, 0.0003792311281145413, -0.0003204632306563624, -0.00012261460139614713, -0.002379037669214006, 0.00290770038541686, 0.0006397693069372974]"
z_x,uncond,0.409608002275975,0.40972002294588367,0.0036955707032860223,0.40270118526987114,0.4170478532118361,0.0016599524751371086,0.001660714740868239,1.3826332511223065e-05,0.0016325130051427967,0.0016863740202069629,0.10854737757456995,"[0.013574348863769585, -0.00551976775551281, 0.005729071479266986, 0.00832161448855327, -0.006690657668167173, -0.0019551044968707776, 0.019214879551132123, 0.001717750947968721, 0.01928984683995333, 0.012839581784985196]"
z_x,cond+z,1.0,1.0,0.0,1.0,1.0,4.519176729812849e-33,4.520164692891936e-33,3.190101713897163e-35,4.456118722924837e-33,4.579267927047776e-33,0.10910924894748811,"[-5.891199634378872e-18, 1.734723475976807e-17, -3.729655473350135e-17, 3.838075690598686e-17, 2.7538735181131813e-17, -1.5178830414797062e-17, -4.336808689942018e-18, 3.903127820947816e-18, 1.474514954580286e-17, 5.421010862427522e-18, 0.05326311113777328]"
h_alpha_flux,orig,0.7343392629013369,0.7344049396578654,0.004342513693649013,0.7256423097800296,0.7423840621406581,0.12609799753400958,0.1260211437943384,0.0028688518101043147,0.12072637867820551,0.13168938241014358,1.696177213819319,"[-0.3848925697621887, 0.06589455514639586, 0.9805608910410482, -0.3804538272773401, 0.29245363490837817, 0.3421552688228437, -0.4014483282486604, 1.0945925978697024, -0.4542964136274301, 0.6585889093878077]"
h_alpha_flux,cond,0.6409138144387362,0.6409999521203787,0.0043456125913242825,0.6326716431860631,0.6493241705037729,0.17039917708600447,0.1703686543774004,0.0030088434547193227,0.16476669600341384,0.17635668248767333,1.6657489285120852,"[-0.21607209938392494, 0.043253679571716136, 0.11421349106495762, -0.07097722256000534, 0.13612562498527617, 0.20667813460992635, -0.0717847791156485, 0.3665204553935129, -0.05809078148014893, 0.2190015386872014]"
h_alpha_flux,uncond,0.7147511162079089,0.7148775219989043,0.004517114567719298,0.7049040976992464,0.7229483239483661,0.1353785438863227,0.13524996249771154,0.0028901723171967536,0.13027631513869517,0.14177612123058192,1.6182216844874064,"[-0.271672935736883, 0.06297222397698432, 0.10606671409829956, -0.1091928570474274, 0.17558611518287365, 0.22332282470692977, -0.14584517612553813, 0.354273211181633, -0.1218057245148712, 0.1804054153668259]"
h_alpha_flux,cond+z,0.7530900740038733,0.7533113109072497,0.004734313111956313,0.7422570083174692,0.7616189975847348,0.117200103501851,0.11707274386102853,0.002901224909548099,0.1119383591219019,0.12361074476511483,1.6657745112274285,"[-0.2156841117023698, 0.04096715877229254, 0.11368943290157875, -0.08074980445987942, 0.13796050708938465, 0.20789478920200927, -0.07279505410114853, 0.3623301573567254, -0.0461792599365509, 0.2216129984472514, -0.2297957051403497]"
velDisp,orig,0.6507849235000588,0.651101611507432,0.014906780181196472,0.6220269385872436,0.6785247723505643,1753.2456606953904,1748.4207633041922,102.66776482656975,1570.6168366668908,1961.4111999606191,153.8367376270651,"[-74.4760205460785, -43.341064761682304, 83.49223918135863, 109.89000207442147, 21.72633853835397, 10.798899963909946, 83.40899132695948, -52.41045637885718, 169.66955453050957, 6.123090867285779]"
velDisp,cond,0.4044326764211638,0.40450614037807553,0.008724109207637212,0.38731899058762387,0.42171352945011137,2984.0775164742954,2984.839775274442,86.45764832094238,2825.2232873977346,3155.8301933373577,132.383876444416,"[8.299010484787662, -4.636888178107562, 16.27680432188526, 3.7678517312659148, -9.098416740650412, -13.40638741145117, 13.836773660422308, -13.317359621621268, 30.33970872413054, 0.12093426608765301]"
